Country,Region
Argentina,AMERICAS
Brazil,AMERICAS
Canada,AMERICAS
Ecuador,AMERICAS
El Salvador,AMERICAS
Guatemala,AMERICAS
Honduras,AMERICAS
Mexico,AMERICAS
Nicaragua,AMERICAS
United States of America,AMERICAS
Bosnia and Herz.,EMEA
Bulgaria,EMEA
Croatia,EMEA
Egypt,EMEA
Georgia,EMEA
Greece,EMEA
Israel,EMEA
Italy,EMEA
Jordan,EMEA
Lithuania,EMEA
Moldova,EMEA
Netherlands,EMEA
Poland,EMEA
Spain,EMEA
Turkey,EMEA
United Kingdom,EMEA
China,N ASIA
Japan,N ASIA
South Korea,N ASIA
Taiwan,N ASIA
India,S ASIA
Indonesia,S ASIA
Malaysia,S ASIA
Pakistan,S ASIA
Sri Lanka,S ASIA
Cambodia,SE ASIA
Thailand,SE ASIA
Vietnam,SE ASIA
